method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-apo,gign,30,284,0.5550590203567022,0.4733984297147278,0.6302975112494441,2.153102520436705,1.9765044636001692,2.3295473413273515,20000,20000
mean,gnina-apo,gign,50,284,0.5481553169111926,0.4636388960972812,0.626007913297899,2.1890357336143045,2.0108977064232314,2.366360839977917,20000,20000
mean,gnina-apo,gign,100,284,0.5339602451759773,0.44657822361818056,0.6138185575913038,2.2559028122686846,2.0781821231890003,2.4322652463039307,20000,20000
mean,gnina-apo,onionnet-2,1,285,0.5906275927903236,0.5146159668244371,0.6605539230558185,1.904528156069938,1.727913033029658,2.081927130787043,20000,20000
mean,gnina-apo,onionnet-2,2,285,0.6138244592116369,0.5424660826416687,0.679654150754459,1.885065258037876,1.7106869963085607,2.064279607007935,20000,20000
mean,gnina-apo,onionnet-2,3,285,0.607343476151678,0.5355215153734937,0.6732814738495898,1.907340276305708,1.7341277423308947,2.084124285573513,20000,20000
mean,gnina-apo,onionnet-2,5,285,0.6153203484189917,0.5455910159110289,0.6798273160676134,1.912697013662012,1.7394504345279465,2.0864541927443647,20000,20000
mean,gnina-apo,onionnet-2,10,285,0.617268533230788,0.5476706607493724,0.6822272274618829,1.9371597307528683,1.7627549238214746,2.1128258194387577,20000,20000
mean,gnina-apo,onionnet-2,20,285,0.6202042416204705,0.5512900616656671,0.6841813736926391,1.9627519470323564,1.7894963883636732,2.1384954446146893,20000,20000
mean,gnina-apo,onionnet-2,30,285,0.6210730484232503,0.5525254861196619,0.6854711769156736,1.9738772537521125,1.8008226937695186,2.1490931365965857,20000,20000
mean,gnina-apo,onionnet-2,50,285,0.6212827107699305,0.5524985275086836,0.6858590312512981,1.9868433404580517,1.8140713469230376,2.1613229862916903,20000,20000
mean,gnina-apo,onionnet-2,100,285,0.6237540966551256,0.554693193879009,0.6874592544045887,1.9979512210169732,1.825725231487143,2.17227262004817,20000,20000
mean,gnina-af3,dynaformer,1,285,0.4633233167006499,0.3676132696214251,0.5507539858860954,2.197112272338038,2.021490907086072,2.3716303839636086,20000,20000
mean,gnina-af3,dynaformer,2,285,0.5077628323024891,0.4154543995111314,0.5916110154908029,2.1432974525942585,1.9711242975384067,2.311687404545194,20000,20000
mean,gnina-af3,dynaformer,3,285,0.5004782898997062,0.40987822347442626,0.5825537838397115,2.1580494553834053,1.9850226731037959,2.330606170054551,20000,20000
mean,gnina-af3,dynaformer,5,285,0.5128203497940452,0.4248109851626631,0.5925023077976074,2.1542800739954178,1.9792059570361324,2.3276166633108306,20000,20000
mean,gnina-af3,dynaformer,10,285,0.49652091681409516,0.40604952678189427,0.5788536726696532,2.178357151378441,1.9993657105161822,2.356487664471428,20000,20000
mean,gnina-af3,dynaformer,20,285,0.487117211691645,0.39562846983378813,0.5719842898269247,2.1941186779316433,2.015285362032701,2.3712635205246735,20000,20000
mean,gnina-af3,dynaformer,30,285,0.484246799155214,0.3926514547990183,0.5691138351730507,2.203816285926734,2.022463098875739,2.3835868701591254,20000,20000
mean,gnina-af3,dynaformer,50,285,0.48505777136099454,0.39450989223589333,0.5684788109767301,2.205422868051902,2.0252688117756845,2.3838776460768325,20000,20000
mean,gnina-af3,dynaformer,100,285,0.48815616377347465,0.39721219148947046,0.571685916383082,2.202854095141315,2.021415959937292,2.381725245735558,20000,20000
mean,gnina-af3,egna,1,285,0.5894012363022779,0.5090507690734751,0.6610166373929093,1.9888367401441902,1.820463125435248,2.1560234289451667,20000,20000
mean,gnina-af3,egna,2,285,0.6122902092567507,0.5348062197111436,0.6819875082645181,1.9714145558144773,1.7998891023118244,2.1435588086442143,20000,20000
mean,gnina-af3,egna,3,285,0.6092733336964967,0.5339879889029099,0.6784609307132561,1.9796746144120172,1.8064501355787461,2.1540969295407404,20000,20000
mean,gnina-af3,egna,5,285,0.6120235739199844,0.5359478594567504,0.6814604724193193,1.9876013649534736,1.8098651241788213,2.165002283532045,20000,20000
mean,gnina-af3,egna,10,285,0.6079054232855484,0.5302072786741244,0.6793276015646269,2.005932894051692,1.8211832748073271,2.189625918685102,20000,20000
mean,gnina-af3,egna,20,285,0.6048647243265208,0.5247929479041485,0.6775339166102279,2.0181740340302103,1.8301620963857805,2.2037138817532034,20000,20000
