method,source,model,n_poses,pcc,rmse,n_targets
median,gnina-apo,gign,3,0.5372666183933552,2.0201656961312944,283
median,gnina-apo,gign,5,0.5259198587179561,2.0562118553556292,283
median,gnina-apo,gign,10,0.5343357630587037,2.0780147116643493,283
median,gnina-apo,gign,20,0.5266708139939559,2.1647769964710553,284
median,gnina-apo,gign,30,0.5381876375745916,2.181998069323924,284
median,gnina-apo,gign,50,0.5320794136569694,2.2138565999449056,284
median,gnina-apo,gign,100,0.5227446045656506,2.280312493754916,284
median,gnina-apo,onionnet-2,1,0.5906275927903236,1.904528156069938,285
median,gnina-apo,onionnet-2,2,0.6138244592116369,1.885065258037876,285
median,gnina-apo,onionnet-2,3,0.5884328384074473,1.9332375075132753,285
median,gnina-apo,onionnet-2,5,0.5959832341132323,1.9318594976879186,285
median,gnina-apo,onionnet-2,10,0.5992251596831036,1.9581337002069,285
median,gnina-apo,onionnet-2,20,0.6110618733716232,1.9698568870205024,285
median,gnina-apo,onionnet-2,30,0.6121072823003324,1.9805887312756632,285
median,gnina-apo,onionnet-2,50,0.6113151722662685,1.994687314850705,285
median,gnina-apo,onionnet-2,100,0.615040717880472,2.0026418757174715,285
median,gnina-af3,dynaformer,1,0.4633233167006499,2.197112272338038,285
median,gnina-af3,dynaformer,2,0.5077628323024891,2.1432974525942585,285
median,gnina-af3,dynaformer,3,0.47579997245479205,2.2043710433742643,285
median,gnina-af3,dynaformer,5,0.4928897621942152,2.179989294347722,285
median,gnina-af3,dynaformer,10,0.4778325387651173,2.220621789969772,285
median,gnina-af3,dynaformer,20,0.46708596245037204,2.229491344120012,285
median,gnina-af3,dynaformer,30,0.46681927693874753,2.236200477959222,285
median,gnina-af3,dynaformer,50,0.46727450201719,2.2370730738966254,285
median,gnina-af3,dynaformer,100,0.46686127966550445,2.2391427651997273,285
median,gnina-af3,egna,1,0.5894012363022779,1.9888367401441902,285
median,gnina-af3,egna,2,0.6122902092567507,1.9714145558144773,285
median,gnina-af3,egna,3,0.6014763859819373,1.9886117876813623,285
median,gnina-af3,egna,5,0.6031999643453612,1.9992079133251137,285
median,gnina-af3,egna,10,0.5946970519654621,2.021801133781808,285
median,gnina-af3,egna,20,0.5968554504488076,2.0289509431784105,285
median,gnina-af3,egna,30,0.5998590881334004,2.02759714328034,285
median,gnina-af3,egna,50,0.6017213248187075,2.0285594015492956,285
median,gnina-af3,egna,100,0.6084924580825248,2.0248454565242797,285
median,gnina-af3,ehign_pla,1,0.5377610795268684,2.2623734815100778,284
median,gnina-af3,ehign_pla,2,0.5637605401854794,2.260276404127078,284
median,gnina-af3,ehign_pla,3,0.5597800750915881,2.282325934160054,284
median,gnina-af3,ehign_pla,5,0.5632346837575044,2.298997375152017,284
median,gnina-af3,ehign_pla,10,0.5592510001822627,2.3331365351360387,284
median,gnina-af3,ehign_pla,20,0.5405704322147292,2.377388880821524,284
median,gnina-af3,ehign_pla,30,0.5420570699408351,2.397624911333262,284
median,gnina-af3,ehign_pla,50,0.5315083182516267,2.4320084845353223,284
median,gnina-af3,ehign_pla,100,0.5315376383265807,2.474037884104152,284
median,gnina-af3,gign,1,0.4710330928535892,2.2418075468062635,284
median,gnina-af3,gign,2,0.5170968176826325,2.191748169167407,284
median,gnina-af3,gign,3,0.49382592506964157,2.2472451728587326,284
median,gnina-af3,gign,5,0.48520391697659593,2.2565465512483764,284
median,gnina-af3,gign,10,0.5103246764245073,2.2569352588361444,284
median,gnina-af3,gign,20,0.505005020261306,2.264765918694253,284
median,gnina-af3,gign,30,0.4892953628972125,2.2875497286386346,284
median,gnina-af3,gign,50,0.4837165001546091,2.3092139887299545,284
median,gnina-af3,gign,100,0.4874556147429724,2.3335577922844917,284
median,gnina-af3,onionnet-2,1,0.5216699587380191,2.222328263615247,285
median,gnina-af3,onionnet-2,2,0.5508037775473122,2.214111940776589,285
median,gnina-af3,onionnet-2,3,0.5343249078694366,2.238066617997885,285
median,gnina-af3,onionnet-2,5,0.520521928250444,2.2627275766672676,285
median,gnina-af3,onionnet-2,10,0.5099440597365303,2.289671917722497,285
median,gnina-af3,onionnet-2,20,0.5148566852119726,2.3018513003533907,285
median,gnina-af3,onionnet-2,30,0.5149525887088201,2.3100459863084217,285
median,gnina-af3,onionnet-2,50,0.5144571178946769,2.3185862715108523,285
median,gnina-af3,onionnet-2,100,0.5195586185766283,2.3191595141570716,285
median,alphafold3,dynaformer,1,0.6595836594482455,1.6396465519596195,285
median,alphafold3,dynaformer,2,0.6611660341587302,1.6357212545959547,285
median,alphafold3,dynaformer,3,0.6723918534553018,1.6159517043074418,285
median,alphafold3,dynaformer,5,0.6684622428785959,1.6211055186309606,285
median,alphafold3,dynaformer,10,0.6709132003768777,1.6173109096820955,285
median,alphafold3,dynaformer,20,0.6695836181385145,1.6198223972048142,285
median,alphafold3,dynaformer,30,0.6726387257567983,1.6131308940050406,285
median,alphafold3,dynaformer,50,0.6723882509790053,1.6151257784136819,285
median,alphafold3,dynaformer,100,0.6753877492385927,1.6123476449356093,285
median,alphafold3,egna,1,0.7165217610630001,1.6183332339602838,285
median,alphafold3,egna,2,0.7145515788421231,1.6224861527265722,285
median,alphafold3,egna,3,0.7142593031140378,1.6253755301575965,285
median,alphafold3,egna,5,0.7130414123275611,1.625832688140007,285
median,alphafold3,egna,10,0.7122135659298636,1.6249815113658068,285
median,alphafold3,egna,20,0.7088524984568055,1.6299284776042362,285
median,alphafold3,egna,30,0.7051909115543012,1.6359139566872736,285
median,alphafold3,egna,50,0.7042443093797893,1.6384427244806299,285
median,alphafold3,egna,100,0.7022058870937419,1.644146288364834,285
median,alphafold3,ehign_pla,1,0.7235791782613226,1.5872104060253864,270
median,alphafold3,ehign_pla,2,0.7311331329675339,1.5716309474937737,270
median,alphafold3,ehign_pla,3,0.731056195233614,1.5731513887749549,270
median,alphafold3,ehign_pla,5,0.7234284426899587,1.5922365675239682,270
median,alphafold3,ehign_pla,10,0.730622689181809,1.574324425040305,270
median,alphafold3,ehign_pla,20,0.7361904753895995,1.561000696715767,270
median,alphafold3,ehign_pla,30,0.736110564859603,1.562984625701165,270
median,alphafold3,ehign_pla,50,0.7313422812420955,1.5728799523579817,270
median,alphafold3,ehign_pla,100,0.7306886762244261,1.577845018528424,270
median,alphafold3,gign,1,0.7115494250854131,1.5573623154715377,270
median,alphafold3,gign,2,0.7209933231690505,1.538629166158042,270
median,alphafold3,gign,3,0.7147500940855196,1.5517538239478992,270
median,alphafold3,gign,5,0.7158089315049553,1.5485314627972964,270
median,alphafold3,gign,10,0.7140317499623049,1.553432532958081,270
median,alphafold3,gign,20,0.7236869849477292,1.5329347490868708,270
median,alphafold3,gign,30,0.725647148356119,1.5296924966685712,270
median,alphafold3,gign,50,0.7234350638676,1.5366837134289462,270
median,alphafold3,gign,100,0.7146729797270803,1.562214882207433,270
median,alphafold3,onionnet-2,1,0.5870685978293083,1.8747097978274332,285
median,alphafold3,onionnet-2,2,0.592285904279151,1.8683890553610567,285
median,alphafold3,onionnet-2,3,0.589715108104523,1.8704418108911662,285
median,alphafold3,onionnet-2,5,0.5875429448878775,1.8767484009934785,285
median,alphafold3,onionnet-2,10,0.5889003262802712,1.8725196499870753,285
median,alphafold3,onionnet-2,20,0.5906004933490412,1.869816148648207,285
median,alphafold3,onionnet-2,30,0.5894962366237849,1.872539989416758,285
median,alphafold3,onionnet-2,50,0.5908039144547766,1.87097972916762,285
median,alphafold3,onionnet-2,100,0.5797210095382518,1.8908545341825207,285
